series,number,prompt,blurb,archive_id
CYOA,1.0,You are the hero of your own adventure,"You are lost in a strange, dimly lit cave. Gradually you can make out two passageways. One curves downward to the right; the other leads upward to the left. It occurs to you that the one leading up may go to the <em>future</em>.",caveoftime00pack
CYOA,2.0,You are the hero of a fabulous deep sea adventure,"You are an underwater explorer. In the deepest ocean, you have accidentally been shut out of your special underwater vessel! Luckily you have friends above you in a boat. But can they save you in time? As they begin pulling you up, you get dizzy and your arms and legs start to feel weak … you are exhausted! Then you see a dolphin heading toward you. You know these marvelous mammals <em>sometimes</em> help people in trouble.",journeyundersea00mont
CYOA,3.0,What will happen on this exciting journey? <em>You</em> get to choose!,"You are floating high above the earth in a giant balloon. Below you is the Sahara Desert, with its endless, golden sands, hundreds of camels, and mud-walled villages. Suddenly you see a large silver dome twinkling in the distance. Should you land the balloon and see what it is? If it’s a flying saucer, it might be dangerous … should you play it safe and stay in the clouds?",byballoontosahar00term
CYOA,4.0,Get ready to hurtle through space – and beyond!,"You were born on a spaceship traveling between galaxies. An experienced intergalactic adventurer, you are now on a mission to a distant planet. Suddenly on your screen you see an alien spacecraft – like nothing you’ve ever seen before. Will the aliens be hostile or friendly? There isn’t much time. Should you fight and hope to drive them off, or just go quietly with them? Here they come!",spacebeyond00mont
CYOA,5.0,Will you unlock the mystery of Chimney Rock?,"On your vacation in Connecticut, you notice a huge, empty stone house at the top of a hill. Some of the windows are boarded up. Some are covered with vines. The old house, known as “Chimney Rock,” is so dark and gloomy that most people won’t go near it.

But you’re the curious type. Should you see for yourself what’s inside? Your cousin urges you to go ahead.",mysteryofchimney0000pack
CYOA,6.0,Will you succeed in this dangerous mission?,"You are a clever American spy. Your code name is Jonah. On a special mission to Deception Island off the coast of Greenland, you discover a secret of worldwide importance. <em>But</em> – for reasons you’ll understand when you read the story – it may be dangerous to reveal this secret to anyone!",yourcodenameisjo00pack
CYOA,7.0,This daring space mission could be your finest—or it could be your last!,"You are flying through space – past Mars, Jupiter, and Saturn – toward the third planet from the star Altair. You descend to a strange world of deserted cities, glowing caves, and man-eating plants. You are here to find the source of the mysterious signals being transmitted to earth",thirdplanetfroma00pack
CYOA,8.0,Tangle with the meanest man in the west!,"You ride into Deadwood City and before you can say, “Git along little dogie,” Kurt Malloy and his gang of desperados are hot on your trail! Whatever you decide, it better be fast! Or else you might end up looking down the barrel of Malloy’s gun!",deadwoodcity0000pack
CYOA,9.0,Someone murdered Harlowe Thrombey. Only you can find out who did it.,"Millionaire Harlowe Thrombey hired you to find out who was out to get him. But before you even got started, someone laced his bedtime brandy with arsenic. Now you have a murder case on your hands! The suspects include his wife Jane, his nephew Chartwell, and his niece Angela – all heirs to his enormous fortune.",whokilledharlowe0000pack
CYOA,10.0,The Jewels of Nabooti are missing and it’s up to <em>you</em> to find them.,"Two diamonds, two rubies. All powerful. They can bring good and they can bring evil to those who possess them. The Jewels of Nabooti, priceless treasures of an ancient African tribe, have disappeared. You have been chosen to find them, Where do you begin your search?",lostjewelsofnabo00mont
