pos,seq,section,subsection,pages,notes,year,month,date,head,subhead,capsule,plotlines,themes
1.0,196.0,1.0,1.0,2026-03-10 00:00:00,,2010.0,11.0,November Y.G.,I am in here,Admissions Interview,Hal’s interview with University of Arizona deans. Questions regarding Hal’s rather stellar record.,Hal,"Recur, Inf/Reg, Isolation"
2.0,4.0,1.0,2.0,2026-10-11 00:00:00,,1997.0,,November Y.G.,I ate this,,Hal eating the mold (at age 4 or 5).,"Hal, Orin, Avril","Fear/Obsess, Cycles, Waste, Memory"
3.0,197.0,1.0,3.0,2026-11-13 00:00:00,,2010.0,11.0,November Y.G.,I am not just a boy who plays tennis,"Admissions Interview, cont.","Hal attempts to explain his record to the deans, but is unable because of his affliction. In his internal monologue we meet someone much more expressive and self-aware than the anhedonic Hal we know for much of the book.",Hal,Phys/Ob
4.0,198.0,1.0,4.0,13-15,,2010.0,11.0,November Y.G.,"I simply lie there, listening",Hal on restroom floor,Hal is restrained in a U of AZ men’s room.,Hal,"Recur, Cycles, Inf/Reg, Waste, Isolation, Time"
5.0,199.0,1.0,5.0,15-17,,2010.0,11.0,November Y.G.,I have become an infantophile,So yo then man what’s your story?,"Hal is taken away in an ambulance. Hal remembers himself, Gately, and John Wayne at his father’s grave in Quebec. Evidently after the AFR arrive at ETA some folks are kidnapped and at an unspecified time brought up to Quebec to try to find the samizdat master.",Hal,"Recur, Inf/Reg"
6.0,28.0,2.0,,17-27,1.0,2009.0,,early Y.D.A.U.,An immobility that seemed like the gathering of a force,,"Ken Erdedy, preparing for a marijuana binge, waits for a woman to deliver the goods.",AA&R,"Recur, Fear/Obsess, Cycles, Inf/Reg, Secrets, Waste, Isolation, Non-Action, Loss"
7.0,9.0,3.0,,27-31,,2003.0,4.0,1 April Y.T.M.P.,"Are you hearing me talking, Dad?",A Professional Conversationalist,10-year-old Hal goes to see a therapist; it turns out to be his father in disguise. James Incandenza tells Hal that his tennis racket contains identical materials as the entertainment cartridge implanted in his head.,"Hal, Jim","Recur, Fear/Obsess, Secrets, His/Father"
8.0,58.0,4.0,,32-33,,2009.0,5.0,9 May Y.D.A.U.,The connection was cut,Orin’s phone call rouses Mario,"Hal, now 16, gets a phone call from Orin. Mario wakes up.","Hal, Mario, Orin","Recur, Secrets, His/Father"
9.0,39.0,5.0,1.0,33-37,,2009.0,4.0,1 April Y.D.A.U.,Without having to remove his eyes,Medical Attaché & mystery TP cartridge,The near-eastern medical attaché comes home to relax and watch some TP.,"Samizdat, Tech","Recur, Cycles, Inf/Reg"
10.0,10.0,5.0,2.0,37-38,,2004.0,,Y.T-S.D.B.,Sick down in my insides to look at it,"Wardine, Roy Tony, and Reginald","Clenette narrates, tells a tale about her friend Wardine’s abusive family",AA&R,"Recur, Cycles, Fear/Obsess, His/Father"
11.0,20.0,5.0,3.0,38-39,,2008.0,,1980s,A vision in a sundress and silly shoes,,The tale of Bruce Green and Mildred Bonk.,AA&R,"Recur, Waste, Phys/Ob"
12.0,29.0,6.0,1.0,39-42,,2009.0,,early Y.D.A.U.,From either side of some unbridgeable difference,Hal and Mario talk God and don’t sleep,Hal and Mario in their room at night. They discuss Himself’s funeral and the Moms. Mario says the Moms seems happier. Hal disagrees and tells him to picture a flagpole raised to twice its height.,"Hal, Mario, Avril","Fear/Obsess, His/Father, Isolation, Loss"
13.0,40.0,6.0,2.0,42.0,,2009.0,4.0,"1 April Y.D.A.U., 2010h.",Still watching,Medical Attache update #1,The medical attaché is still watching... (Just one sentence.),Samizdat,"Isolation, Non-Action"
14.0,62.0,6.0,3.0,42-49,2.0,2009.0,10.0,October Y.D.A.U.,A kind of dessicated circle,Orin wakes. Slowly.,"Orin wakes up in Arizona, last night’s “Subject” is gone.",Orin,"Recur, Fear/Obsess, Dreams"
15.0,63.0,7.0,1.0,49-54,2026-03-10 00:00:00,2009.0,10.0,October Y.D.A.U.,Attached to the secrecy,ETA Physical Plant/Pump Room/Hal’s Secrecy,Hal getting secretly high in the basement of Enfield Tennis Academy.,"E.T.A., AA&R, Hal","Recur, Fear/Obsess, Cycles, Secrets, Isolation"
16.0,41.0,7.0,2.0,54.0,11.0,2009.0,4.0,"2 April Y.D.A.U., 0015h.-0020h.","He sits there, attached",Medical Attache update #2,The medical attaché has not moved an inch.,Samizdat,"Cycles, Fear/Obsess, Waste, Isolation, Non-Action"
17.0,59.0,7.0,3.0,54-55,,2009.0,5.0,May Y.D.A.U.,Show the tapes,,Mario’s A/V duties,"E.T.A., Mario","Cycles, His/Father"
18.0,18.0,7.0,4.0,55-60,2026-12-20 00:00:00,2008.0,10.0,Autumn Y.D.P.A.H.,Bound to his chair,Botched DuPlessis Burglary,Don Gately’s criminal career comes to an end after accidentally murdering a Canadian VIP during a robbery. This VIP has ties to various anti-O.N.A.N. groups.,"AA&R, A.F.R., Gately, O.N.A.N.","Recur, Fear/Obsess, Inf/Reg"
19.0,30.0,7.0,5.0,60.0,,2009.0,,early Y.D.A.U.,Killer apps,"InterLace, 932/1864 R.I.S.C. Power TPs...",Description of a state-of-the-art teleputer,Tech,"Inf/Reg, Isolation, Non-Action"
20.0,69.0,7.0,6.0,60-61,21-22,2009.0,11.0,"November Y.D.A.U., after 0745h.",You can’t escape looking,Troeltsch’s rapid onset rhinovirus,Troeltsch sick in bed at ETA.,E.T.A.,"Recur, Fear/Obsess, Secrets, Isolation, Dreams"
21.0,11.0,7.0,7.0,61-63,,2004.0,5.0,April-May Y.T-S.D.B.,A face in the floor,Evil in the dorm room with you,“almost 12”-year-old’s nightmare at ETA (likely Hal).,Hal,"Recur, Cycles, Fear/Obsess, Dreams"
22.0,26.0,8.0,1.0,63-65,23-25,2009.0,,1999.0,The man’s very gradual spiral,"Bio of Himself, info on Avril & C.T.","Brief description and history of ETA and its founder, James O. Incandenza.","Jim, Art/Ent, Avril, Tech","Recur, Cycles, Fear/Obsess, His/Father, Boundaries"
23.0,68.0,8.0,2.0,65-66,,2009.0,11.0,1 November Y.D.A.U.,He doesn’t loop or spiral,,Orin hang-glides into Mile High Stadium on game day.,Orin,"Recur, Fear/Obsess, Boundaries"
24.0,31.0,9.0,1.0,66-67,,2009.0,,early Y.D.A.U.,A kind of semi-sleep-like trance,Pemulis’s pharmocology seminar,"Michael Pemulis, as “Big Buddy,” talks about drugs to his little buddies.","E.T.A., AA&R",Recur
25.0,15.0,9.0,2.0,67-68,26-27,2008.0,,flashback to the year Hal turns 16,A kind of psychodysleptic Sominex,Football field-sized tennis court dream,Hal remembers the first time he got high and relates a tennis dream.,"E.T.A., AA&R, Hal","Recur, Cycles, Boundaries, Dreams"
