year,subsidy,date,time,pages,capsule,capsule_tagged,groups,characters
1950,,,,64,James O. Incandenza “Himself” born,<joi>James O. Incandenza</> “Himself” born,eta,joi
1953,,,,766,Avril Incandenza (née Mondragon) born,<avril>Avril Incandenza</> (née Mondragon) born,eta,avril
1960,,,,157,"James Incandenza’s father gives him an ontologically dicey tennis lesson: “you’re a machine a body an object, Jim”","<joi-father>James Incandenza’s father</> gives <joi>him</> an ontologically dicey tennis lesson: “you’re a machine a body an object, Jim”",eta,"joi,joi-father"
1961,,,,"900, 953","When Avril is 8 years old, her mother dies of ‘an infarction’ under unknown circumstances","When <avril>Avril</> is 8 years old, <avril-mother>her mother</> dies of ‘an infarction’ under unknown circumstances",eta,"avril,avril-mother"
,,,,314,Charles Tavis born (his mother will later marry Avril’s father),<tavis>Charles Tavis</> born (his mother will later marry Avril’s father),eta,tavis
1962,,,,"313, 492",James Incandenza’s father retires “from a sad third career as the Man from Glad”,<joi-father>James Incandenza’s father</> retires “from a sad third career as the Man from Glad”,eta,joi-father
1963,,Winter,,503,A 13-year-old James Incandenza first becomes “interested in the possibilities of annulation” while helping his father fix an old mattress,A 13-year-old <joi>James Incandenza</> first becomes “interested in the possibilities of annulation” while helping <joi-father>his father</> fix an old mattress,eta,"joi,joi-father"
1981,,,,"55, 277",Don Gately born,<gately>Don Gately</> born,eh,gately
1983,,,,"314, 598, 916",Orin Incandenza born,<orin>Orin Incandenza</> born,eta,orin
1985,,,,809,Gately lives in a beach house in Beverly with his mother and “Herman” the breathing ceiling,<gately>Gately</> lives in a beach house in Beverly with his mother and “Herman” the breathing ceiling,eh,gately
1990,,,,"449, 903",Gately smokes “his first duBois at age nine” and his mother is diagnosed with cirrhosis,<gately>Gately</> smokes “his first duBois at age nine” and his mother is diagnosed with cirrhosis,eh,gately
1991,,,,312,Tavis arrives at E.T.A. before Mario is born but “after the horrible snafu with the video-scoreboard at Toronto’s Skydrome”,<tavis>Tavis</> arrives at E.T.A. before <mario>Mario</> is born but “after the horrible snafu with the video-scoreboard at Toronto’s Skydrome”,eta,"mario,tavis"
